epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,197.555,0.63697,0.49525,0.89786,0.84338,0.98868,0.995,0.78345,0.79252,0.54902,0.89756,0.000202188,0.000202188,0.000202188
43,201.624,0.61607,0.48291,0.88965,0.80297,1,0.995,0.77141,0.84805,0.51321,0.92363,0.000191875,0.000191875,0.000191875
44,205.982,0.60244,0.45143,0.88586,0.78392,1,0.995,0.75247,0.9519,0.53083,0.95504,0.000181563,0.000181563,0.000181563
45,209.99,0.64871,0.49789,0.91567,0.82299,0.96935,0.995,0.75134,0.99521,0.5444,0.97103,0.00017125,0.00017125,0.00017125
46,214.002,0.61913,0.45485,0.91942,0.88868,0.96469,0.995,0.77262,0.88263,0.48732,0.92678,0.000160938,0.000160938,0.000160938
47,218.476,0.63805,0.44277,0.9306,0.90565,0.97154,0.995,0.75559,0.87972,0.47378,0.92408,0.000150625,0.000150625,0.000150625
48,222.3,0.59432,0.44876,0.88515,0.88944,0.98677,0.995,0.74614,0.87118,0.4739,0.91519,0.000140313,0.000140313,0.000140313
49,226.026,0.61097,0.45111,0.91259,0.85764,0.99037,0.995,0.79048,0.83187,0.4834,0.9063,0.00013,0.00013,0.00013
50,230.735,0.59421,0.46219,0.89631,0.84502,0.98739,0.995,0.78735,0.87163,0.4981,0.92426,0.000119688,0.000119688,0.000119688
51,236.757,0.53773,0.42575,0.8585,0.8828,0.98445,0.995,0.77954,0.86204,0.48903,0.91638,0.000109375,0.000109375,0.000109375
52,242.13,0.51378,0.39373,0.85637,0.94787,0.96675,0.995,0.79258,0.80709,0.46547,0.89158,9.90625e-05,9.90625e-05,9.90625e-05
53,246.363,0.51085,0.39756,0.85396,0.96336,0.96381,0.995,0.77968,0.82418,0.45465,0.89517,8.875e-05,8.875e-05,8.875e-05
54,250.268,0.47286,0.36365,0.82805,0.96656,0.96376,0.995,0.78872,0.87626,0.43221,0.90812,7.84375e-05,7.84375e-05,7.84375e-05
55,254.481,0.50647,0.38233,0.83471,0.96198,0.97346,0.995,0.77702,0.89411,0.42824,0.91001,6.8125e-05,6.8125e-05,6.8125e-05
56,258.733,0.48826,0.3796,0.8352,0.95777,0.96817,0.995,0.78298,0.87135,0.41275,0.89789,5.78125e-05,5.78125e-05,5.78125e-05
57,262.539,0.47659,0.35817,0.82762,0.95139,0.96678,0.995,0.80148,0.86607,0.41808,0.8957,4.75e-05,4.75e-05,4.75e-05
58,267.041,0.47181,0.36949,0.8463,0.96042,0.95593,0.995,0.79646,0.87476,0.4166,0.89703,3.71875e-05,3.71875e-05,3.71875e-05
59,271.391,0.46386,0.37069,0.83968,0.96292,0.95465,0.995,0.7794,0.87127,0.40131,0.89893,2.6875e-05,2.6875e-05,2.6875e-05
60,275.278,0.44916,0.35572,0.85343,0.96411,0.95857,0.995,0.77234,0.87117,0.40386,0.90252,1.65625e-05,1.65625e-05,1.65625e-05
