epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,200.368,0.60752,0.42568,0.91309,0.95573,1,0.995,0.85886,0.68782,0.37435,0.89975,0.000236083,0.000236083,0.000236083
44,204.211,0.58195,0.41554,0.90417,0.95571,1,0.995,0.84102,0.69131,0.37159,0.8948,0.000223395,0.000223395,0.000223395
45,208.643,0.58316,0.43378,0.88746,0.95999,1,0.995,0.83923,0.67975,0.38602,0.88285,0.000210706,0.000210706,0.000210706
46,213.039,0.56135,0.41152,0.90202,0.96114,1,0.995,0.83952,0.67822,0.37739,0.88121,0.000198018,0.000198018,0.000198018
47,216.768,0.55705,0.38465,0.90056,0.95656,1,0.995,0.84519,0.67881,0.37462,0.88558,0.000185329,0.000185329,0.000185329
48,221.143,0.56405,0.40075,0.90165,0.96292,0.9967,0.995,0.84321,0.68851,0.36817,0.88916,0.000172641,0.000172641,0.000172641
49,225.482,0.55987,0.396,0.89039,0.9519,1,0.995,0.82241,0.69342,0.35985,0.89021,0.000159952,0.000159952,0.000159952
50,229.326,0.54382,0.38971,0.8859,0.95175,1,0.995,0.82042,0.69389,0.36837,0.89324,0.000147264,0.000147264,0.000147264
51,236.507,0.51207,0.38117,0.85544,0.96555,1,0.995,0.82554,0.65828,0.37386,0.88505,0.000134575,0.000134575,0.000134575
52,241.081,0.46759,0.33984,0.84714,0.9755,1,0.995,0.84624,0.64299,0.33541,0.87415,0.000121887,0.000121887,0.000121887
53,244.756,0.48025,0.34435,0.83183,0.96739,1,0.995,0.84561,0.64616,0.33113,0.87155,0.000109198,0.000109198,0.000109198
54,249.308,0.4609,0.33227,0.82182,0.94852,1,0.995,0.8482,0.61532,0.30445,0.87465,9.65095e-05,9.65095e-05,9.65095e-05
55,253.074,0.44562,0.32893,0.84444,0.93762,1,0.995,0.86781,0.62472,0.32959,0.87916,8.3821e-05,8.3821e-05,8.3821e-05
56,257.063,0.46231,0.3532,0.83243,0.94174,1,0.995,0.86898,0.63348,0.329,0.88154,7.11325e-05,7.11325e-05,7.11325e-05
57,261.567,0.46321,0.33733,0.82044,0.95084,1,0.995,0.84981,0.63126,0.31666,0.88102,5.8444e-05,5.8444e-05,5.8444e-05
58,265.451,0.45802,0.32471,0.83489,0.96272,1,0.995,0.86836,0.62813,0.32394,0.88203,4.57555e-05,4.57555e-05,4.57555e-05
59,269.239,0.44075,0.31592,0.84729,0.96728,1,0.995,0.86767,0.62469,0.31848,0.88241,3.3067e-05,3.3067e-05,3.3067e-05
60,273.782,0.43798,0.3131,0.83942,0.96642,1,0.995,0.86601,0.62294,0.32011,0.87992,2.03785e-05,2.03785e-05,2.03785e-05
